"A","B","A->B","B->A"
"Elementary Statistics I","Elementary Statistics","True","False"
"Elementary Statistics Ii","Elementary Statistics","False","False"
"General Elementary Statistics","Elementary Statistics","True","True"
"Elementary Applied Statistics","Elementary Statistics","True","True"
"Elementary Statistics (3)","Elementary Statistics","True","True"
"Elementary Statistics With Applications","Elementary Statistics","True","True"
"Elementary Math Statistics","Elementary Statistics","True","True"
"Elementary Statistics Concepts","Elementary Statistics","True","True"
"Modern Elementary Statistics","Elementary Statistics","True","True"
"Elementary Statistics (A)","Elementary Statistics","True","True"
"Elementary Practical Statistics","Elementary Statistics","True","True"
"Elementary Statistics (Enhanced)","Elementary Statistics","True","True"
"Elementary Statistics - Honors","Elementary Statistics","True","True"
"Elementary Statistics and Probability","Elementary Statistics","True","True"
"Elementary Probabilityand Statistics","Elementary Statistics","True","True"
"Elementary Probability and Statistics","Elementary Statistics","True","True"
"Elementary Statistics With Support","Elementary Statistics","True","True"
"Elementary Statistic","Elementary Statistics","True","True"
"Elementary Statistics and Probab","Elementary Statistics","True","True"
"Elementary Stats","Elementary Statistics","True","True"
"Elementary Statistics Enhanced","Elementary Statistics","True","True"
"Elementary Probability and Statistics ?","Elementary Statistics","True","True"
"Honors: Elementary Statistics","Elementary Statistics","True","True"
"Elementary Statistics Honors","Elementary Statistics","True","True"
"Elementary Statistics and Lab","Elementary Statistics","True","True"
"Arts Administration I","Arts Administration","True","False"
"Arts Administration and Development","Arts Administration","True","True"
"Advanced Arts Administration","Arts Administration","True","True"
"Performing Arts Administration","Arts Administration","True","True"
"Arts and Cultural Administration","Arts Administration","True","True"
"Exploring the Arts and Arts Administration","Arts Administration","True","True"
"Introduction to Arts Administration","Arts Administration","True","True"
"Careers in Arts Administration","Arts Administration","True","True"
"Arts Administration and Community","Arts Administration","True","True"
"Arts Administration II","Arts Administration","False","False"
"Introduction to Arts Administration Management","Arts Administration","True","True"
"Arts Education for Administration","Arts Administration","True","False"
"Arts Administration Practicum","Arts Administration","True","False"
"Performing Arts Management and Administration","Arts Administration","True","True"
"Arts Management","Arts Administration","True","True"
"Arts Adminstration","Arts Administration","True","True"
"Survey of Arts Administration","Arts Administration","True","True"
"Principles of Arts Administration","Arts Administration","True","True"
"Overview of Arts Management and Administration","Arts Administration","True","True"
"Arts Management I","Arts Administration","True","False"
"Topics in Arts Administration","Arts Administration","True","True"
"Issues in Arts Administration","Arts Administration","True","True"
"Principles of Arts Management and Administration","Arts Administration","True","True"
"Exploring Arts and Arts Admin","Arts Administration","True","True"
"Topics in Arts Administration Practice","Arts Administration","True","True"
"Agricultural Engineering Fundamentals","Agricultural Engineering","True","True"
"Fundamentals of Agricultural Engineering","Agricultural Engineering","True","True"
"Introduction to Agricultural Engineering","Agricultural Engineering","True","True"
"Research in Agricultural Engineering","Agricultural Engineering","True","False"
"Introduction to Agricultural Engineering Technology","Agricultural Engineering","True","False"
"Special Topics in Agricultural Engineering Technology","Agricultural Engineering","True","False"
"Introduction to Agricultural Engineering Lab","Agricultural Engineering","True","False"
"Agricultural Engineering Technology Professional Orientation","Agricultural Engineering","True","False"
"Applications in Agricultural Engineering","Agricultural Engineering","True","True"
"Orientation to Agricultural Engineering","Agricultural Engineering","True","True"
"Agricultural Science","Agricultural Engineering","False","False"
"Agricultural Engineering Technology Professional Seminar","Agricultural Engineering","True","False"
"Biological and Agricultural Engineering Fundamentals","Agricultural Engineering","True","True"
"Agricultural Construction","Agricultural Engineering","True","False"
"Engineering Principles Applied to Agriculture","Agricultural Engineering","True","True"
"Agriculture Technology","Agricultural Engineering","True","False"
"Agricultural Engineering Safety","Agricultural Engineering","True","True"
"Agricultural Science and Technology","Agricultural Engineering","False","False"
"Agricultural Mechanics","Agricultural Engineering","True","False"
"Research in Biological and Agricultural Engineering","Agricultural Engineering","True","False"
"Biological and Agricultural Engineering Fundamentals II","Agricultural Engineering","True","True"
"Directed Studies in Agricultural Engineering Technology","Agricultural Engineering","True","False"
"Agricultural Construction I","Agricultural Engineering","True","False"
"Biological and Agricultural Engineering Design II","Agricultural Engineering","True","False"
"Fundamentals of Agricultural Technology","Agricultural Engineering","True","False"
"Applied Data Analytics","Applied Analytics","True","True"
"Applied Business Analytics","Applied Analytics","True","True"
"Applied Analytics Practicum","Applied Analytics","True","True"
"Applied Analytics Project","Applied Analytics","True","True"
"Applied Business Analytics I","Applied Analytics","True","False"
"Applied Analytics and Methods I","Applied Analytics","True","False"
"Applied Web Analytics","Applied Analytics","True","True"
"Applied Digital Analytics","Applied Analytics","True","True"
"Introduction to Applied Analytics","Applied Analytics","True","True"
"Applied Analytics Project I","Applied Analytics","True","False"
"Business Analytics Applied","Applied Analytics","True","True"
"Applied Marketing Analytics","Applied Analytics","True","True"
"Intro Applied Data Analytics","Applied Analytics","True","True"
"Applied Statistics for Data Analytics","Applied Analytics","True","True"
"Applied Financial Analytics","Applied Analytics","True","True"
"Analytics Applications","Applied Analytics","True","True"
"Analytics","Applied Analytics","False","True"
"Applied Accounting Analytics","Applied Analytics","True","True"
"Intro to IS/Applied Analytics","Applied Analytics","True","True"
"Applications of Applied Business Analytics","Applied Analytics","True","True"
"Managing Information for Applied Analytics","Applied Analytics","True","True"
"Applied Statistics and Predictive Analytics","Applied Analytics","True","True"
"Business Analytics I","Applied Analytics","True","False"
"Applied Regression and Data Analytics","Applied Analytics","True","True"
"Applied Descriptive Analytics","Applied Analytics","True","True"
"Architectural Design I","Architectural Design","True","True"
"Architectural Design 1","Architectural Design","True","True"
"Architectural Structure Design","Architectural Design","True","False"
"Architectural Design (3)","Architectural Design","True","True"
"Architectural Design Fundamentals I","Architectural Design","True","True"
"Architectural Design 2","Architectural Design","True","False"
"Architecture Design I","Architectural Design","True","True"
"Architectural Engineering Design I","Architectural Design","True","False"
"Architectural Design Ii","Architectural Design","True","True"
"Fundamental Architectural Design","Architectural Design","True","True"
"Architectural Design III","Architectural Design","True","False"
"Architecture Design 1","Architectural Design","True","True"
"Introduction to Architectural Design","Architectural Design","True","True"
"Architectural Design Problems","Architectural Design","True","False"
"Architectural Design IV","Architectural Design","True","False"
"Architectural Design 4","Architectural Design","True","False"
"Principles of Architectural Design","Architectural Design","True","True"
"Architectural Analysis","Architectural Design","True","False"
"Architectural Systems","Architectural Design","False","False"
"Architectural Design 6","Architectural Design","True","False"
"Architectural Design Fundamentals II","Architectural Design","True","True"
"Architecture","Architectural Design","False","True"
"Elements and Principles of Architectural Design","Architectural Design","True","True"
"Architectural Research","Architectural Design","True","False"
"Architectural Design Concepts","Architectural Design","True","True"
"Auto Shop Essentials","auto shop class","True","False"
"Shop Management","auto shop class","False","False"
"Auto Shop MGT and Supervision","auto shop class","True","False"
"Automotive Shop Practices","auto shop class","True","False"
"Auto Shop Orientation and Service","auto shop class","True","False"
"Machine Shop Training","auto shop class","False","False"
"Machine Shop Practice","auto shop class","False","False"
"Introduction to Machine Shop","auto shop class","False","False"
"Shop Craft","auto shop class","True","False"
"Auto Marketing","auto shop class","False","False"
"Introduction to Workshop and Machine Shop","auto shop class","False","False"
"Introduction to Automotive Retailing","auto shop class","False","False"
"Machine Shop Technology","auto shop class","False","False"
"Machine Shop","auto shop class","False","False"
"Machine Shop Practices","auto shop class","False","False"
"Machine Shop II","auto shop class","False","False"
"Intro to Shop Safety","auto shop class","True","False"
"Advanced Machine Shop","auto shop class","False","False"
"Auto Technology Introduction","auto shop class","True","False"
"Basic Machine Shop","auto shop class","False","False"
"Machine Shop Level 1","auto shop class","False","False"
"Shop Organization and Management","auto shop class","False","False"
"Fundamental Shop Skills","auto shop class","True","False"
"Shop Practicum","auto shop class","True","False"
"Machine Shop Fundamentals","auto shop class","False","False"
"Intercollegiate Athletics - Sports Women","female athletics","True","False"
"Intercollegiate Athletics - Sports - Women","female athletics","True","False"
"Women in Sports","female athletics","True","False"
"Intercollegiate Athletics - Sports ? Women","female athletics","True","False"
"Women in Sport","female athletics","True","False"
"Intercollegiate Athletics: Women?s Swimming","female athletics","True","False"
"Gender in Intercollegiate Athletics","female athletics","True","False"
"Women Sport and the Body","female athletics","True","False"
"Women and Sport","female athletics","True","False"
"Ntercollegiate Athletics - Sports - Women","female athletics","True","False"
"Women and Sports","female athletics","True","False"
"Intercollegiate Athletics: Women?s Soccer","female athletics","True","False"
"The American Women in Sport","female athletics","True","False"
"Intercollegiate Athletics: Women?s Volleyball","female athletics","True","False"
"Women in Physical Education and Sports","female athletics","True","False"
"Competitive Athletics","female athletics","False","False"
"Intercollegiate Athletics: Women?s Basketball","female athletics","True","False"
"Women, Sport and Physical Activity","female athletics","True","False"
"Varsity Soccer - Women","female athletics","True","False"
"Varsity Women's Sports: Track","female athletics","True","False"
"History of Women in Sports","female athletics","True","False"
"Women's Sport History","female athletics","True","False"
"Gender in Sports","female athletics","True","False"
"Intercollegiate Athletics: Women?s Waterpolo","female athletics","True","False"
"History of Women in Sport","female athletics","True","False"
"Humanities Art","art humanities","True","False"
"Art and Humanities","art humanities","True","True"
"Art in the Humanities","art humanities","True","False"
"Humanities/Arts","art humanities","True","True"
"Arts and Humanities","art humanities","True","True"
"Humanities Through the Arts","art humanities","True","False"
"The Humanities Through the Arts","art humanities","True","False"
"Humanities and Fine Arts","art humanities","True","False"
"Art, Culture, and Humanities","art humanities","True","False"
"Art, Humanities, and Culture","art humanities","True","False"
"Fine Arts in the Humanities","art humanities","True","False"
"Arts and Humanities in Art Education","art humanities","True","False"
"Exploring the Arts and Humanities","art humanities","True","False"
"Arts and Humanities I","art humanities","True","False"
"Humanities","art humanities","False","True"
"The Humanities: Art, Culture, and Expression","art humanities","True","False"
"Environmental Humanities and Art","art humanities","True","False"
"Humanities: Art and Music","art humanities","True","False"
"Humanities in the World","art humanities","True","False"
"Digital Humanities and Arts","art humanities","True","False"
"Arts and Humanities in Western Culture","art humanities","True","False"
"Humanities Literature","art humanities","True","False"
"World Humanities","art humanities","True","False"
"Introduction to Humanities and the Arts","art humanities","True","False"
"Introduction to Arts and Humanities","art humanities","True","False"
"Art and Animation","animated art","True","True"
"Art of Animation I","animated art","True","False"
"The Art of Animation","animated art","True","False"
"Game Art and Animation","animated art","True","False"
"Intermediate Digital Art: Animation","animated art","True","False"
"Animation I (Art)","animated art","True","False"
"Animation II (Art)","animated art","True","False"
"Animation/Illustration I","animated art","True","False"
"Animation","animated art","True","True"
"Cartooning and Illustration","animated art","False","False"
"Digital Art, Video and Animation I","animated art","True","False"
"Animation Storytelling","animated art","True","False"
"Animation: Concept Art","animated art","True","False"
"Artistic Authoring and Animation","animated art","True","False"
"Animated Films","animated art","True","False"
"Cinema, Animation and Art","animated art","True","False"
"Intermediate Game Art and Animation","animated art","True","False"
"Game Art and Animation Fundamentals","animated art","True","False"
"Digital Art, Video and Animation II","animated art","True","False"
"Graphic Art","animated art","False","False"
"Contemporary Animation","animated art","True","False"
"Cinema and Art for Animators","animated art","True","False"
"Digital Art, Video and Animation III","animated art","True","False"
"Art and Motion","animated art","True","False"
"Animation Projects","animated art","True","False"
"Architectural Design I","architectural design","True","False"
"Architectural Design 1","architectural design","True","False"
"Architectural Structure Design","architectural design","True","False"
"Architectural Design (3)","architectural design","True","False"
"Architectural Design Fundamentals I","architectural design","True","False"
"Architectural Design 2","architectural design","True","False"
"Architecture Design I","architectural design","True","False"
"Architectural Engineering Design I","architectural design","True","False"
"Architectural Design Ii","architectural design","True","False"
"Fundamental Architectural Design","architectural design","True","False"
"Architectural Design III","architectural design","True","False"
"Architecture Design 1","architectural design","True","False"
"Introduction to Architectural Design","architectural design","True","False"
